distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PRR,cumulative_PIR
0.0,23,11,1,0,2,0.996471226927253,0.100354126940888,0.996471226927253,0.100354126940888
10.0,23,11,1,0,2,0.9898418914082402,0.1010262354705263,0.9931565591677466,0.1006901812057071
20.0,23,11,1,0,2,0.9846707917792996,0.101556785105101,0.9903279700382642,0.1009790491721718
30.0,23,11,1,0,2,0.977024890864742,0.1023515377499669,0.9870022002448836,0.1013221713166206
40.0,23,11,1,0,2,0.9688217396057284,0.1032181627558192,0.9833661081170526,0.1017013696044603
50.0,23,11,1,0,2,0.9605637613951276,0.1041055305425633,0.9795657169967318,0.1021020630941441
60.0,23,11,1,0,2,0.9501727144677712,0.1052440240362131,0.9753667166354516,0.1025509146572968
70.0,23,11,1,0,2,0.942254104371382,0.1061284843823676,0.971227640102443,0.1029981108729307
80.0,23,11,1,0,2,0.9318422056076572,0.1073143064332332,0.9668514807141336,0.1034776881574087
90.0,23,11,1,0,2,0.9197270663865902,0.1087279081530986,0.962139039281379,0.1040027101569777
100.0,23,11,1,0,2,0.9043519410942372,0.1105764199267413,0.9568856667189116,0.1046003201360471
110.0,23,11,1,0,2,0.8953814310509658,0.1116842459895819,0.9517603137465828,0.1051906472905084
120.0,23,11,1,0,2,0.8808716707021792,0.1135239142385926,0.9463073412047056,0.1058316678249764
130.0,23,11,1,0,2,0.86194014207523,0.1160173370731259,0.9402811126954572,0.1065592156284156
140.0,23,11,1,0,2,0.8510906713764709,0.1174962942999595,0.9343350832741916,0.1072883542065186
150.0,23,11,1,0,2,0.834774547719405,0.119792823431427,0.9281125498020174,0.1080698835330753
160.0,23,11,1,0,2,0.8172510449963117,0.1223614220039954,0.9215912848134464,0.1089105622666589
170.0,23,11,1,0,2,0.8017677302212249,0.1247244011334901,0.9149344206694344,0.1097891088703717
180.0,23,11,1,0,2,0.7861847652956058,0.1271965629636691,0.90815812301818,0.1107052906647558
190.0,23,11,1,0,2,0.7674863090345517,0.1302954838709677,0.9011245323189988,0.1116848003250664
200.0,23,11,1,0,2,0.7439059815173134,0.1344255893682079,0.8936379346617755,0.1127676950414064
210.0,23,11,1,0,2,0.7315970398663165,0.1366872671030391,0.8862724394438001,0.1138549483169352
220.0,23,11,1,0,2,0.7069528539356419,0.1414521483905114,0.8784759357260541,0.1150548265810038
230.0,23,11,1,0,2,0.6925623359413476,0.144391334628496,0.8707295357350247,0.1162771810829826
240.0,23,11,1,0,2,0.672483398180382,0.1487025557368134,0.862799690232839,0.1175741960691358
